Make,Region,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG
Acura,Asia,Gasoline,4,35,25
Acura,Asia,Gasoline,6,28,21
Alfa Romeo,Europe,Gasoline,4,33,24
Alfa Romeo,Europe,Gasoline,6,24,17
Aston Martin,Europe,Gasoline,12,19,12
Audi,Europe,Gasoline,4,30,23
Audi,Europe,Gasoline,6,27,19
Audi,Europe,Gasoline,8,26,17
Audi,Europe,Gasoline,10,22,14
Audi,Europe,Gasoline,4,32,24
Bentley,Europe,Gasoline,8,22,13
Bentley,Europe,Gasoline,12,20,12
BMW,Europe,Diesel,4,41,30
BMW,Europe,Diesel,6,29,23
BMW,Europe,Electricity,0,109,133
BMW,Europe,Gasoline,2,33,36
BMW,Europe,Gasoline,3,29,28
BMW,Europe,Gasoline,4,32,23
BMW,Europe,Gasoline,6,28,19
BMW,Europe,Gasoline,8,23,15
BMW,Europe,Gasoline,12,20,13
Buick,Europe,Gasoline,4,27,20
Buick,Europe,Gasoline,4,31,23
Buick,Europe,Gasoline,6,26,18
Cadillac,USA,Gasoline,4,30,22
Cadillac,USA,Gasoline,6,25,17
Cadillac,USA,Gasoline,8,21,14
Cadillac,USA,Gasoline,4,32,22
Cadillac,USA,Gasoline,6,26,18
Cadillac,USA,Gasoline,8,21,15
Chevrolet,USA,Diesel,4,29,21
Chevrolet,USA,Electricity,0,110,128
Chevrolet,USA,Gasoline,4,31,21
Chevrolet,USA,Gasoline,8,23,15
Chevrolet,USA,Gasoline,4,34,27
Chevrolet,USA,Gasoline,6,24,17
Chevrolet,USA,Gasoline,8,21,15
Chrysler,USA,Gasoline,8,25,16
Chrysler,USA,Gasoline,4,36,23
Chrysler,USA,Gasoline,6,29,20
Dodge,USA,Gasoline,8,24,15
Dodge,USA,Gasoline,8,23,14
Dodge,USA,Gasoline,10,19,12
Dodge,USA,Gasoline,4,25,19
Dodge,USA,Gasoline,6,27,18
Ferrari,Europe,Gasoline,8,22,16
Ferrari,Europe,Gasoline,12,16,12
Fiat,Europe,Electricity,0,103,121
Fiat,Europe,Gasoline,4,34,26
Fiat,Europe,Gasoline,4,30,22
Ford,USA,Electricity,0,96,118
Ford,USA,Gasoline,4,25,19
Ford,USA,Gasoline,6,18,11
Ford,USA,Gasoline,8,21,14
Ford,USA,Gasoline,3,40,29
Ford,USA,Gasoline,4,31,24
Ford,USA,Gasoline,6,23,17
Ford,USA,Gasoline,8,22,15
Genesis,Asia,Gasoline,6,24,17
Genesis,Asia,Gasoline,8,23,15
Genesis,Asia,Gasoline,6,27,17
GMC,USA,Diesel,4,29,21
GMC,USA,Gasoline,4,27,20
GMC,USA,Gasoline,6,23,17
GMC,USA,Gasoline,8,21,15
Honda,Asia,Gasoline,4,38,30
Honda,Asia,Gasoline,4,37,29
Honda,Asia,Gasoline,6,28,19
Hyundai,Asia,Electricity,0,122,150
Hyundai,Asia,Gasoline,4,34,27
Hyundai,Asia,Gasoline,6,25,18
Infiniti,Asia,Gasoline,4,30,22
Infiniti,Asia,Gasoline,6,27,20
Infiniti,Asia,Gasoline,8,22,15
Infiniti,Asia,Gasoline,4,27,25
Jaguar,Europe,Diesel,4,39,30
Jaguar,Europe,Gasoline,4,30,21
Jaguar,Europe,Gasoline,6,26,18
Jaguar,Europe,Gasoline,8,23,15
Jeep,USA,Gasoline,6,27,19
Jeep,USA,Gasoline,8,22,14
Jeep,USA,Gasoline,4,31,24
Jeep,USA,Gasoline,8,19,13
Jeep,USA,Gasoline,4,27,21
Jeep,USA,Gasoline,6,22,17
Kia,Asia,Electricity,0,92,120
Kia,Asia,Gasoline,8,23,15
Kia,Asia,Gasoline,4,33,27
Kia,Asia,Gasoline,6,25,18
Lamborghini,Europe,Gasoline,10,21,14
Lamborghini,Europe,Gasoline,12,17,10
Land Rover,Europe,Diesel,6,28,22
Land Rover,Europe,Gasoline,4,27,20
Land Rover,Europe,Gasoline,6,23,17
Land Rover,Europe,Gasoline,8,19,14
Lexus,Asia,Gasoline,4,30,22
Lexus,Asia,Gasoline,6,28,21
Lexus,Asia,Gasoline,8,22,16
Lexus,Asia,Gasoline,4,36,39
Lexus,Asia,Gasoline,6,28,20
Lincoln,USA,Gasoline,4,29,23
Lincoln,USA,Gasoline,6,24,16
Lotus,Europe,Gasoline,6,24,17
Maserati,Europe,Gasoline,6,24,16
Maserati,Europe,Gasoline,8,20,14
Mazda,Asia,Gasoline,4,34,26
Mazda,Asia,Gasoline,4,35,27
McLaren Automotive,Europe,Gasoline,8,23,16
Mercedes-Benz,Europe,Electricity,0,82,85
Mercedes-Benz,Europe,Gasoline,4,30,23
Mercedes-Benz,Europe,Gasoline,6,25,19
Mercedes-Benz,Europe,Gasoline,8,22,16
Mercedes-Benz,Europe,Gasoline,12,20,13
MINI,Europe,Gasoline,4,33,24
Mitsubishi,Asia,Electricity,0,102,121
Mitsubishi,Asia,Gasoline,6,27,20
Mitsubishi,Asia,Gasoline,3,42,35
Mitsubishi,Asia,Gasoline,4,31,24
Nissan,Asia,Electricity,0,101,124
Nissan,Asia,Gasoline,4,31,26
Nissan,Asia,Gasoline,6,26,18
Nissan,Asia,Gasoline,4,33,26
Nissan,Asia,Gasoline,6,25,18
Nissan,Asia,Gasoline,8,20,14
Porsche,Europe,Gasoline,4,27,21
Porsche,Europe,Gasoline,6,26,19
Porsche,Europe,Gasoline,8,21,14
Ram,USA,Gasoline,8,21,14
Ram,USA,Gasoline,4,28,21
Ram,USA,Gasoline,6,24,17
Rolls-Royce,Europe,Gasoline,12,19,12
smart,Europe,Gasoline,3,39,32
Subaru,Asia,Gasoline,4,27,21
Subaru,Asia,Gasoline,4,33,25
Subaru,Asia,Gasoline,6,28,20
Tesla,USA,Electricity,0,98,92
Toyota,Asia,Gasoline,4,30,23
Toyota,Asia,Gasoline,4,35,32
Toyota,Asia,Gasoline,6,25,20
Toyota,Asia,Gasoline,8,18,13
Volkswagen,Europe,Gasoline,4,28,21
Volkswagen,Europe,Gasoline,4,33,24
Volkswagen,Europe,Gasoline,6,25,18
Volvo,Europe,Gasoline,4,29,22
Volvo,Europe,Gasoline,4,32,23
